1,CE222,2018-02-25,09:00,11:00
2,PH202,2018-02-25,09:00,11:00
3,EE626,2018-02-25,09:00,11:00
4,ME532,2018-02-25,09:00,11:00
5,ME691,2018-02-25,09:00,11:00
6,BT629,2018-02-25,09:00,11:00
7,CL612,2018-02-25,09:00,11:00
8,PH523,2018-02-25,09:00,11:00
9,MA505,2018-02-25,09:00,11:00
10,MA685,2018-02-25,09:00,11:00
11,ME662,2018-02-25,09:00,11:00
12,HS512,2018-02-25,09:00,11:00
13,BT616,2018-02-25,14:00,16:00
14,CL642,2018-02-25,14:00,16:00
15,CH637,2018-02-25,14:00,16:00
16,MA616,2018-02-25,14:00,16:00
17,MA622,2018-02-25,14:00,16:00
18,HS621,2018-02-25,14:00,16:00
19,CE222,2018-04-28,09:00,12:00
20,PH202,2018-04-28,09:00,12:00
21,EE626,2018-04-28,09:00,12:00
22,ME532,2018-04-28,09:00,12:00
23,ME691,2018-04-28,09:00,12:00
24,BT629,2018-04-28,09:00,12:00
25,CL612,2018-04-28,09:00,12:00
26,PH523,2018-04-28,09:00,12:00
27,MA505,2018-04-28,09:00,12:00
28,MA685,2018-04-28,09:00,12:00
29,ME662,2018-04-28,09:00,12:00
30,HS512,2018-04-28,09:00,12:00
31,BT616,2018-04-28,14:00,17:00
32,CL642,2018-04-28,14:00,17:00
33,CH637,2018-04-28,14:00,17:00
34,MA616,2018-04-28,14:00,17:00
35,MA622,2018-04-28,14:00,17:00
36,HS621,2018-04-28,14:00,17:00
37,CS222,2018-02-26,09:00,11:00
38,EE270,2018-02-26,09:00,11:00
39,ME221,2018-02-26,09:00,11:00
40,CE201,2018-02-26,09:00,11:00
41,DD211,2018-02-26,09:00,11:00
42,BT202,2018-02-26,09:00,11:00
43,CL204,2018-02-26,09:00,11:00
44,PH206,2018-02-26,09:00,11:00
45,CH212,2018-02-26,09:00,11:00
46,HS406,2018-02-26,09:00,11:00
47,HS409,2018-02-26,09:00,11:00
48,HS413,2018-02-26,09:00,11:00
49,HS414,2018-02-26,09:00,11:00
50,HS415,2018-02-26,09:00,11:00
51,HS420,2018-02-26,09:00,11:00
52,HS421,2018-02-26,09:00,11:00
53,HS422,2018-02-26,09:00,11:00
54,HS424,2018-02-26,09:00,11:00
55,HS425,2018-02-26,09:00,11:00
56,EE525,2018-02-26,09:00,11:00
